subid,age_days,looking_time_IDS,looking_time_ADS,gender,race_ethn_simple,moreLang,yearsEd,nSibs,careGender
MB9-13,354,6.772857143,5.666666667,M,Caucasian,N,16,0,F
MB9-14,300,6.89625,5.69,M,Caucasian,Y,16,0,F
MB9-15,338,10.07625,7.10625,F,Caucasian,N,18,1,F
MB9-16,304,4.3125,4.67125,M,Multiracial,N,16,1,M
MB9-17,348,9.17375,6.3075,M,Caucasian,N,16,0,M
MB9-18,347,6.963333333,4.5775,F,Caucasian,N,16,4,F
MB9-19,324,7.225,9.70875,F,Multiracial,Y,19,0,F
MB9-20,345,5.29375,5.24875,M,Asian,Y,16,0,F
MB9-21,328,5.626,6.082,M,Multiracial,Y,18,0,F
MB9-22,310,7.97125,7.71375,M,Caucasian,N,16,0,F
MB9-23,267,9.7575,7.61,M,Caucasian,Y,16,0,F
MB9-25,293,7.61625,7.51375,M,Asian,N,18,1,M
MB9-26,297,11.95875,10.105,F,Caucasian,Y,18,1,F
MB9-27,337,13.1025,9.1675,M,Multiracial,Y,16,0,F
MB9-28,334,8.65875,5.68,M,Caucasian,Y,18,0,M
MB9-29,335,9.6025,9.71375,M,Caucasian,Y,16,0,F
MB9-30,330,9.01625,8.56375,F,Caucasian,N,18,0,F
MB9-31,298,10.855,10.70875,M,Caucasian,N,16,0,F
MB9-32,332,12.07375,7.96625,M,Caucasian,Y,18,0,F
MB9-33,335,8.42,4.8,M,Multiracial,Y,16,0,F
MB9-34,316,7.4775,8.15625,M,Caucasian,Y,16,2,F
MBIR6_4M_S9,207,12.74975,9.6945,M,Multiracial,Y,12,0,F
P18MB1,403,9.000375,7.195125,M,Caucasian,N,21,0,F
P19MB2,400,6.5295,7.316,M,Caucasian,N,15,2,F
P20MB3,398,9.41175,6.76,F,Caucasian,N,16,1,F
P21MB4,398,6.83525,8.290375,F,Caucasian,N,16,1,F
P22MB5,406,7.730875,2.583375,F,Caucasian,N,16,2,F
P23MB6,434,10.81675,5.785125,M,Caucasian,N,16,0,F
P24MB7,366,8.7425,9.6385,M,Caucasian,N,16,1,F
P25MB8,367,2.405625,5.504125,F,Caucasian,N,14,3,F
P26MB9,378,12.060625,8.193375,F,Caucasian,N,15,1,F
P27MB10,389,3.18675,2.28925,F,Caucasian,N,16,3,F
P28MB11,410,4.568625,5.338125,M,Caucasian,N,14,0,F
P29MB12,414,6.29825,4.014125,M,Caucasian,N,16,0,F
P30MB13,384,7.885625,9.91125,F,Caucasian,N,16,0,F
P31MB14,439,4.002,3.226,M,Caucasian,N,16,2,F
P32MB15,405,6.93325,3.287,M,Black,N,15,4,F
P33MB16,417,5.8458,4.003666667,M,Black,N,15,1,F
P34MB17,381,6.0335,2.215125,M,Multiracial,N,18,2,F
P35MB18,430,5.339125,6.394125,M,Caucasian,Y,16,1,F
P36MB19,390,10.655,3.972375,M,Caucasian,N,18,3,F
P37MB20,387,6.93725,3.898,M,Caucasian,Y,21,2,F
P38MB21,465,7.188125,8.704375,F,Black,Y,15,2,F
P39MB22,427,10.893625,6.802375,F,Caucasian,N,15,3,F
P40MB23,436,4.853333333,5.5486,F,Multiracial,Y,18,1,F
P41MB24,419,2.83275,2.578375,M,Caucasian,N,21,0,F
P42MB25,426,9.543875,8.209875,M,Caucasian,N,8,1,F
P43MB26,454,4.8095,4.427375,F,Caucasian,N,14,0,F
P44MB27,464,7.356,3.522375,F,Multiracial,Y,16,1,F
P46MB29,445,10.36125,5.1585,F,Caucasian,N,15,0,F
P47MB30,462,3.009,3.29725,M,Caucasian,Y,18,0,F
P48MB31,450,6.636875,3.585625,F,Caucasian,N,18,0,F
P50MB32,461,3.9455,4.468125,F,Caucasian,N,18,2,F
